"","X","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","portfolio","retorno_an"
"1",1,120,"Hercules","HETA4",3213,"PN",43.174603174,NA,-88.016942977,12.943515589,9428,59.090139295,0,NA,-57.555723095,5.6856238434,1.8300128748,0,33.125849567,0.06399247838,294,"smallfolio",3.65412713220701
"2",2,251,"Tex Renaux","TXRX4",4853.44,"PN",35.795749532,NA,-45.275595054,1.9287671233,20404,-1002.925606,-53.247053081,0.24321653872,16.579771985,1.2481319433,NA,0,15.246236588,0.056857573716,22993,"smallfolio",3.10711083392992
"3",3,117,"Haga S/A","HAGA4",9916.6666667,"PN",187.95180723,NA,8.6702084174,66.625801887,13672.613,123.48819323,-60.866973955,18.889018926,91.563680957,1.0300668649,0.25280034167,0,0.3651313454,0.099742211347,1300.232,"smallfolio",11.1557621644374
"4",4,99,"Excelsior","BAUH4",12532.8,"PN",3913.5496985,-35.804916733,-7.157861361,-4.52640534,16183,-700.43896274,24.080362196,64.492307692,27.965714865,13.557969046,NA,3.4043671519,0.25370678233,0.16607518987,1062,"smallfolio",44.6614668599727
"5",5,245,"Teka","TEKA4",15088.1735,"PN",-80.242493827,NA,-40.54909954,-5.4474282183,57628,-18.180368392,-31.000508698,-10.950745688,-22.155292213,43.875001669,1.2588826628,0,100.62113906,-0.11080656668,62300,"smallfolio",-14.9697976415298
"6",6,32,"Cambuci","CAMB3",16077.6,"ON",NA,NA,-2.445713205,11.784222879,92992,4.6104195481,-194.0275496,23.925826655,80.100911181,NA,NA,NA,0.25529606179,NA,48359,"smallfolio",NA
"7",7,220,"Sansuy","SNSY5",16976.08,"PNA",NA,NA,-18.145077899,0.3076549996,68595,-2038.1222707,-39.602765177,2.2499089632,22.092173026,2.7357024987,1.7306727647,0,4.5456518053,NA,156867,"smallfolio",NA
"8",8,23,"Biomm","BIOM3",19503,"ON",NA,NA,-60.903861956,-39.049466537,928,NA,-64.333660773,-64.312071692,NA,1.8166198634,NA,0,0.352492987,NA,0,"smallfolio",NA
"9",9,76,"Dtcom Direct","DTCY3",24663.37,"ON",-23.57331629,NA,-34.769951718,-14.400983606,4264,53.240572968,-211.74542475,-27.787056367,-5.8807805399,3.6017623641,NA,0,1.1763736043,-0.050055846881,344,"smallfolio",-2.6525675322351
"10",10,95,"Estrela","ESTR4",28453.92,"PN",351.28205128,NA,-20.050928675,2.6538461539,34634,-536.02580645,-44.415422485,1.1374313832,-21.016173702,5.0022756239,0.88259069978,0,18.361832741,0.14832646372,5412,"smallfolio",16.2638783361378
"11",11,85,"Encorpar","ECPR3",28640.98,"ON",948.22526445,9.2606498746,8.3658146781,5.6090097748,1105,140.53702765,0,-1563.7440758,25.861769558,23.009915108,NA,44.272784416,3.367932095,0.21218407274,637,"smallfolio",26.4868748005405
"12",12,123,"IGB S/A","IGBR3",34138.65,"ON",19.047619048,NA,-66.668649841,NA,-12032,27.114979534,-63.756355594,-21.033268438,-33.076518351,3.4667588195,0.70303422955,0,9.7269030987,0.015213445722,74787,"smallfolio",1.75882214611998
"13",13,121,"Hoteis Othon","HOOT4",38582.04,"PN",11.904761904,NA,-4.6772379773,-0.46639305793,64014,54.926691558,-18.869994515,-61.411628579,-0.63242702663,2.8750582061,-0.071566297105,0,0.58639224585,0.0066158245073,303519,"smallfolio",1.13112926595504
"14",14,182,"Nutriplant","NUTR3",39129.51,"ON",NA,-22.697186983,-4.4424052683,-1.9593028561,6613,NA,80.929123563,-5.7489544678,NA,109.74053371,NA,0,NA,NA,589,"smallfolio",NA
"15",15,178,"Mundial","MNDL3",54037.14,"ON",NA,4.4451807229,0.85185522963,2.682033666,110432,105.62374254,104.16573073,23.195808267,39.858402222,61.856906343,1.5283373915,3.9203501042,23.793024084,NA,15192,"smallfolio",NA
"16",16,243,"Tecnosolo","TCNO4",65600,"PN",-84.262497228,6.3118687292,1.3628657132,9.2330085311,24484,2885.7142857,153.83673604,27.046040804,328.66726714,3.5607984714,0.60543256021,17.25,0.18441931847,-0.19107162799,6651,"smallfolio",-16.8822875847479
"17",17,211,"Recrusul","RCSL4",67642.08,"PN",-99.712778331,NA,1.7225180081,NA,6833,104.79394183,-0.74722655176,49.192100539,9.3735517541,144.83601033,0.47748206387,0,155.66726417,-1.2498919062,0,"smallfolio",-44.304293140019
"18",18,272,"Wetzel S/A","MWET3",68325.6,"ON",NA,NA,5.8954706702,14.662360264,57833,217.53784358,-603.4921012,51.261394432,96.660234526,22.353036348,NA,0,2.6398647277,NA,6335,"smallfolio",NA
"19",19,221,"Santanense","CTSA3",75516.93,"ON",569.02384253,22.740210573,13.321677472,12.061335399,76566,136.71896638,26.844306903,91.311103438,50.297448874,0.41574643496,NA,134.68217992,1.2168041794,0.15010772935,1039,"smallfolio",20.932814248861
"20",20,250,"Terra Santa","TESA3",75786.6,"ON",-79.002483949,-63.627852923,-39.45393038,-17.187710753,-30013,NA,259.40009583,-51.040109778,NA,83.226376192,-0.43071185702,0,183.86447231,-0.16906022275,1485,"smallfolio",-14.4506346250626
"21",21,160,"Mangels Indl","MGEL4",86748.19,"PN",-40.75608354,0.96395803492,0.25470181859,13.333473361,132674,-73.473027854,241.03188587,29.930024176,104.81521636,10.519390228,0.9000696183,33.777166667,2.1306014711,-0.055795873427,6443,"smallfolio",-5.10040126769588
"22",22,232,"Sondotecnica","SOND5",88721.28,"PNA",NA,18.059258131,11.60207477,12.479525727,17705,380.45271423,0,-26.388549485,47.547019963,7.834436971,NA,126.63059335,1.5794396523,NA,5085,"smallfolio",NA
"23",23,1,"Aco Altona","EALT4",92970,"PN",120.02880213,NA,13.458082836,33.671486801,59430,486.73437042,-76.535453827,-398.74841972,235.10098851,1.2701263143,1.9289847085,20.054856874,0.53724848472,0.053529310923,3128,"smallfolio",8.2051554884562
"24",24,111,"GPC Part","GPCP3",99203.75,"ON",86.623463188,-5.5207555263,-0.99524575171,13.559568812,204482,-134.65316145,290.52423896,32.706709825,37.385293374,7.7335249764,1.1340592147,0.65520846948,5.9471805035,0.052073236154,75745,"smallfolio",6.43798014841177
"25",25,200,"Pomifrutas","FRTA3",1e+05,"ON",-94.858503514,-6.0403760799,-3.1104702595,3.6714730426,10060.493,-205.18833684,77.782461061,11.860902328,117.55565697,45.837602058,0.081530692211,0,14.216395988,-0.77054182708,995.807,"smallfolio",-25.6794432588742
"26",26,139,"Karsten","CTKA4",108820.95,"PN",-81.983277945,-45.134494486,-13.798601046,10.01417658,107935,-519.12365288,351.00884066,15.308952858,25.853051158,19.202506506,1.3563691036,45.536651282,16.180420099,-0.092897890288,14530,"smallfolio",-15.7504523263902
"27",27,129,"Inepar","INEP3",110496.39,"ON",-84.30078655,57.019978167,7.6115199865,6.3885141386,221270,174.68189579,204.66930949,24.133545447,55.281448717,38.322096096,0.3903049487,35.338786325,26.971054985,-0.15589860053,343572,"smallfolio",-16.9025322872285
"28",28,65,"Cristal","CRPG5",110860.51654,"PNA",794.00727078,-4.8880682223,-3.5159575408,-1.6907334295,16779,NA,9.2896246672,-36.510422104,NA,7.6710708156,1.3227187862,32.031419774,1.1324792016,0.090693675416,27630,"smallfolio",24.4898962744754
"29",29,66,"Csu Cardsyst","CARD3",111715.6,"ON",704.8725367,8.0164094287,3.1314136349,6.3385298405,73663,NA,75.70499596,25.891079199,NA,2.3695769499,0.18991673368,15.346553541,0.34218482312,0.18449149143,44480,"smallfolio",23.1892215590895
"30",30,198,"Pettenati","PTNT4",116075.15969,"PN",407.45520832,3.5354427884,1.3772318831,5.7340601605,22059.371,NA,71.629475817,19.426936979,NA,1.0325955024,1.9964219766,23.991594045,0.13989200494,0.40979575472,0,"smallfolio",17.6358707271626
"31",31,39,"Cedro","CEDO3",118847.30139,"ON",25.382039369,13.458909638,7.1039400051,9.1093313256,85112,106.1636137,51.615405386,46.156589977,-4.2420945257,2.3468465724,NA,31.592174395,1.9131491673,0.044653926345,9061,"smallfolio",2.28772816864606
"32",32,164,"Metal Iguacu","MTIG4",119873.28,"PN",NA,-6.9669775872,-4.3470465735,-0.4144481984,6806,-135.65207556,48.567355666,-2.2721454173,29.87927205,219.04223362,0.35986826754,3.6394444444,23.186074096,NA,0,"smallfolio",NA
"33",33,112,"Grazziotin","CGRA4",129267.15,"PN",755.05540616,24.247308718,15.311359167,30.748855992,114158.082,232.63580574,0,-66.736677896,82.618408874,5.8353011601,0.54310475178,40.245201888,0.36816707739,0.21648465779,3021.355,"smallfolio",23.9365565969941
"34",34,38,"Ceb","CEBR3",131285.98485,"ON",NA,21.25081036,4.3606879619,9.7085746981,953672,415.74546385,13.986778408,308.76702594,39.480072085,10.85473428,NA,7.831517576,10.244425287,NA,70045,"smallfolio",NA
"35",35,258,"Triunfo Part","TPIS3",136705,"ON",132.10747977,-11.246151211,-4.9684587014,1.4144443794,104694,-1570.9718718,109.13421935,4.136095343,378.84873745,2.4616563087,-0.11693188042,134.95514659,0.30242150369,0.022895669357,13840,"smallfolio",8.78497433163283
"36",36,170,"Minerva","BEEF3",138417,"ON",730.2672277,-40.887817411,-10.813316018,10.572973136,378932,NA,468.99725572,13.463036751,NA,2.8520875121,0.14367308465,5.1200859395,2.0941080914,0.16954666363,23070,"smallfolio",23.5724876471667
"37",37,74,"Dohler","DOHL4",138682.5,"PN",396.87769673,2.8002594639,2.0922887834,0.24042362892,42421,-59.887994732,20.603811773,-0.88835603576,-0.64644658932,1.4974385479,NA,25.60208741,0.11833895237,0.6591299617,5428,"smallfolio",17.3883370387849
"38",38,72,"Dimed","PNVL3",139501.6,"ON",2257.1040401,7.7272763524,3.5137026789,4.667087377,160182,0.47810803716,9.8175174112,-111.16771685,60.302410213,5.0496057846,2.0954491581,4.3686169552,0.014801480752,0.3709997734,13069,"smallfolio",37.1632842094277
"39",39,119,"Helbor","HBOR3",145693.69,"ON",967.33168072,16.090588164,5.9371116149,8.6187795843,112307,NA,62.805018479,43.586749326,NA,9.1818279742,0.20495668654,83.265181264,0.42408305502,0.087844996789,21302,"smallfolio",26.7155579052401
"40",40,171,"Minupar","MNPR3",147315,"ON",-87.952128654,NA,-2.3066710005,14.91462689,16190,56.982428326,-85.787198584,33.667542948,179.76911577,14.949171893,0.62161380592,0,10.563584044,-0.30027392378,2209,"smallfolio",-19.0734489092767
"41",41,64,"Cr2","CRDE3",152248.8,"ON",-10.635484151,9.6562821534,6.6448637436,10.099433149,64093,NA,13.962995434,112.42416789,NA,13.064208212,0.21809249998,109.51032976,13.2927445,-0.015313891639,0,"smallfolio",-1.11816649322086
"42",42,105,"Fras-Le","FRAS3",156261.28,"ON",NA,13.373996221,5.5388992467,14.208899209,129669,-20.188500187,87.058349638,65.2398833,111.92417494,0.93039096872,0.68608671451,32.273870585,0.04692148011,NA,0,"smallfolio",NA
"43",43,269,"Viver","VIVR3",156670.8,"ON",-99.817585282,-10.349120985,-4.4974703454,-3.3904260216,129314,NA,59.543582221,-16.98681873,NA,914.64292273,0.013724294333,0,15.189571173,-0.61804393431,18310,"smallfolio",-46.7761866259606
"44",44,246,"Tekno","TKNO4",161686.252,"PN",NA,17.97484944,13.554775373,30.548814707,45823,18.48772428,4.2915162455,-25.001088822,89.989889905,13.614512166,NA,106.72273578,2.3275290681,NA,2774,"smallfolio",NA
"45",45,201,"Portobello","PTBL3",163779.27,"ON",583.05448573,-39.594102195,-2.0746887967,9.7216175965,132740,-5669.344817,2680.0041399,37.329321509,29.684045053,1.3551232239,0.44761739937,21.86262689,0.11516624774,0.19789156952,12010,"smallfolio",21.1840701318287
"46",46,137,"Josapar","JOPA3",169652.31,"ON",197.116253,16.082074327,5.203320057,19.309512469,221975,124.21390618,127.76883589,58.19143415,48.630266149,5.2735093542,NA,32.353107089,0.55054776517,0.16071578141,6500,"smallfolio",11.5045632459245
"47",47,101,"Fer Heringer","FHER3",172556.76,"ON",1.404494382,-51.36975044,-13.383696741,7.2115440834,281855,NA,275.90176095,18.050268829,NA,3.7621566338,-0.00025830101618,0,3.8677558964,0.0013966001011,1976,"smallfolio",0.13956958261736
"48",48,257,"Trisul","TRIS3",185982.5,"ON",1656.1126577,1.9700487969,0.96876475598,1.7186124885,106714,NA,75.666439312,14.490246949,NA,2.1191466437,0.91962675182,6.8948357673,0.078512058635,0.12260234995,24953,"smallfolio",33.1849761648362
"49",49,205,"Profarma","PFRM3",189798.3,"ON",44.700350215,7.0987384258,3.4560915799,8.1376842183,220693,NA,41.571324662,49.069990027,NA,4.2615726302,-0.20720182125,19.132475282,0.50228615156,0.036347897673,22857,"smallfolio",3.76406049596265
"50",50,167,"Metisa","MTSA4",190407.4185,"PN",100.92794108,37.491437173,17.798488835,55.675836237,88544.436,211.35154712,34.466764927,-2173.5406953,192.49189582,3.4165133041,1.3886799874,39.635054022,0.74815481353,0.11428967018,3858.562,"smallfolio",7.22696986524993
"51",51,140,"Kepler Weber","KEPL3",195180.45,"ON",357.84599756,-1.9200445228,-0.7936545973,8.3653706248,80380,-101.24502381,94.619721551,35.438162058,81.685590889,8.9461495409,0.19217670084,8.8096943018,53.073172136,0.099981963726,14941,"smallfolio",16.4318886392029
"52",52,143,"Le Lis Blanc","LLIS3",200375,"ON",169.26475603,30.280134837,7.3749374805,20.533698852,125011,NA,0,-52.337281207,NA,16.76124962,0.10726340193,116.76365371,0.23847010041,0.051009242483,250,"smallfolio",10.4124257135229
"53",53,134,"Irani","RANI3",208274.47148,"ON",354.26579199,-53.730929265,-9.6241615502,1.7734930769,90497,NA,736.94611857,2.6319736666,NA,0.81304772932,NA,13.877091273,0.17241545505,0.12699172206,52387,"smallfolio",16.3405207473109
"54",54,275,"Wlm Ind Com","WLMM3",213685.9051,"ON",NA,31.602881001,19.989553396,41.772875781,128513,637.53630589,0.67180705368,-68.056684727,34.605295516,2.6548441196,NA,25.076282353,1.8931821415,NA,23324,"smallfolio",NA
"55",55,19,"Bardella","BDLL4",214384,"PN",-89.48386262,6.052810001,1.9219624838,4.7685340087,75688,575.32400208,21.997230159,132.16670894,98.343145771,25.550824411,NA,312.15234953,3.8623733343,-0.57868522598,27562,"smallfolio",-20.1664162869933
"56",56,225,"Schulz","SHUL4",216843.37,"PN",500.90731497,-10.575974645,-2.8579481152,19.656418619,160433,-437.40740464,266.98489486,32.820591168,180.01101187,1.7701555338,0.70477809356,14.760433278,0.15054686419,0.19780199212,7770,"smallfolio",19.6411968952878
"57",57,247,"Telebras","TELB4",220471.38883,"PN",5.2450425414,NA,-7.4980832518,-15.483936096,0,-406.20423892,0,5.2814602384,59.344046612,43.564274999,0.32762543374,0,18.836929811,0.0028014166972,257447,"smallfolio",0.512520754415147
"58",58,26,"Bombril","BOBR4",224369.75,"PN",-50.843373494,NA,1.4713127652,16.552473282,321632,100.36113,-15.429477216,75.023823137,-18.613832354,2.7125979037,0.57077752329,0,18.276665479,-0.057333962454,0,"smallfolio",-6.85528738842036
"59",59,199,"Plascar Part","PLAS3",233002,"ON",-89.251089543,5.6055174883,2.4763985769,5.6407240847,113572,123.4273814,63.688343106,21.017056845,114.51538214,58.68543855,0.15423556036,17.378361364,13.671036211,-0.16881666956,12329,"smallfolio",-19.9914417522287
"60",60,82,"Emae","EMAE4",240155.5,"PN",627.37861554,25.364252886,14.934016658,18.545362368,17601,774.94412675,0,-1269.2721213,2.1821060683,5.6230465333,1.1597339251,10.949653362,2.5645306298,0.1373466219,23012,"smallfolio",21.9483849159499
"61",61,97,"Eucatex","EUCA4",268055.7,"PN",249.31369228,12.482983965,5.1738240952,9.6506061933,226364,212.01091637,17.598852617,165.89468581,37.574786902,1.5631011421,0.18300940057,19.19024,0.76606014652,0.14989001063,0,"smallfolio",13.3239127183242
"62",62,166,"Metalfrio","FRIO3",293896.8,"ON",-68.984702236,-25.515020064,-10.534230294,-11.435324755,84491,NA,142.95028247,-23.948236122,NA,114.38199737,0.033742041692,77.116225978,66.937832138,-0.11560796525,32479,"smallfolio",-11.0476152914889
"63",63,244,"Tegma","TGMA3",297009,"ON",1186.093787,14.985617676,8.9879234797,31.545973175,125097,NA,29.029885569,311.46925054,NA,7.7009056981,0.2947280696,30.368831328,0.057838266092,0.11177811369,168,"smallfolio",29.1003037306115
"64",64,100,"Eztec","EZTC3",338211.8402,"ON",4884.2106578,13.393915448,10.98750356,12.943574899,160190,NA,1.7815205788,-42.946799596,NA,7.6055957504,0.74319290359,19.139232407,0.22804484835,0.22355570526,4333,"smallfolio",47.8289999504436
"65",65,240,"Taurus Armas","TASA4",363070.74,"PN",-60.758941433,18.957337843,6.7975375608,17.95660568,251464,58.552246258,43.549039465,158.34655411,155.02752553,10.527042467,-0.080368992803,62.805424843,0.77792356722,-0.067044645252,17731,"smallfolio",-8.93026529415732
"66",66,96,"Eternit","ETER3",365722.7,"ON",-41.954998516,34.911797205,21.04514283,36.612540657,242747,194.21911432,3.5689078714,-514.03985911,22.580194239,6.1944864297,-0.24624044895,311.26415094,0.81493349017,-0.052957497484,43760,"smallfolio",-5.29422057310708
"67",67,53,"Cogna ON","COGN3",379778.35714,"ON",NA,6.9732303479,5.684481994,12.759818106,99634,NA,4.0217065696,-24.967920199,NA,NA,0.41196055817,NA,0.13488757458,NA,990,"smallfolio",NA
"68",68,215,"Rni","RDNI3",381313.75,"ON",177.87566334,15.256152802,7.9713671301,15.090868633,144504,NA,31.522119062,57.067056925,NA,2.972857729,0.11926809857,34.134153612,0.79525147237,0.12975249554,5145,"smallfolio",10.7605366372128
"69",69,28,"Brasilagro","AGRO3",402530.336,"ON",273.74639051,1.6940713574,1.3909305347,-3.7603645588,556,NA,4.3354763113,3.6381546679,NA,3.0545173231,0.2177029188,19.086470343,0.13065566808,0.43531673042,0,"smallfolio",14.0926587269512
"70",70,77,"Duratex","DTEX3",409177.5,"ON",784.26196807,15.554566162,6.6617237131,13.809890864,200635,NA,80.898857202,39.247416777,NA,2.2549896893,0.10910922478,17.280064218,0.18557850437,0.15676068497,20073,"smallfolio",24.353523309518
"71",71,133,"Iochp-Maxion","MYPK3",415030,"ON",693.92861695,68.942265272,18.881556145,30.34197465,356970,4774.594483,77.999580076,90.684000579,162.95956159,5.3304014064,0.16406322728,50.817497088,0.77404375214,0.1003321466,58021,"smallfolio",23.020686333085
"72",72,62,"Coteminas","CTNM4",426269.5,"PN",-32.050097738,-4.4975605016,-2.9787410968,1.8600835922,429574,-91.518987572,29.774046063,43.705525735,85.270303924,6.1247386578,0.38520851365,3.5017687075,5.3944526448,-0.036703664149,23509,"smallfolio",-3.79029486033823
"73",73,49,"Cia Hering","HGTX3",428180.38,"ON",1928.1963825,13.713639043,5.4449888101,13.720600166,238530,99.532568599,59.761914569,210.46781026,3.4892083642,8.4044833438,0.4280936473,53.382027434,0.16808771942,0.086496444281,23390,"smallfolio",35.1173130908273
"74",74,152,"Log-In","LOGN3",432369.68295,"ON",-1.6454142598,14.170810054,10.594965035,17.455743704,89867,NA,5.7615624351,-37.118902439,NA,14.52291047,0.020109396286,5.858029382,0.67261285427,-0.0006430375093,30574,"smallfolio",-0.165772600152903
"75",75,81,"Eletropar","LIPR3",440536,"ON",139.28822534,9.0331543192,5.3126089772,6.4104035333,0,266.73506026,0,-38.821621214,16.838667994,11.717827234,NA,22.35446988,0.63484499169,0.33734039729,11454,"smallfolio",9.11692855581849
"76",76,249,"Tenda","TEND3",464756.32,"ON",NA,-5.4114417954,-2.4746280836,-11.965638043,167396,NA,11.904145504,122.41582293,NA,NA,NA,NA,6.3942543289,NA,26840,"smallfolio",NA
"77",77,224,"Saraiva Livr","SLED4",492455.12,"PN",-79.687735306,25.47141458,10.555930842,33.611527934,509233,331.46573301,19.092226955,436.93190454,161.32546545,8.7219250432,-0.40721488937,710.95193563,0.83554334563,-0.14737563538,25186,"smallfolio",-14.734010818187
"78",78,242,"Tecnisa","TCSA3",494479,"ON",-21.017995039,10.736750814,5.7504577952,4.6290972515,172946,NA,32.633603941,30.490007796,NA,24.261978571,-0.3524659377,148.76416149,2.0290856811,-0.020685420336,7449,"smallfolio",-2.33188285907938
"79",79,165,"Metal Leve","LEVE3",502491,"ON",NA,11.158932879,3.5515513505,14.297069266,478468,-64.60565071,122.09492276,46.311095536,88.154758133,4.4968904062,0.35028781009,78.130911025,0.51374003668,NA,178119,"smallfolio",NA
"80",80,98,"Even","EVEN3",517650.087,"ON",611.30163511,10.639986563,4.1732298153,8.6212649931,275642,NA,70.266804478,43.366884668,NA,1.8720670941,0.18746916335,14.752074945,0.12931296881,0.20566642627,0,"smallfolio",21.6761278983758
"81",81,233,"Springs","SGPS3",535803.31,"ON",-14.761136395,-19.353746457,-11.356245787,-3.106232792,353008,NA,37.656250392,-40.898069119,NA,5.3592185292,0.036249112287,4.620251835,4.4935757614,-0.01226761056,0,"smallfolio",-1.58444065996239
"82",82,266,"Valid","VLID3",543553.635,"ON",191.92184961,20.783177837,8.1539453256,25.332912957,177336,NA,55.335947231,66.296269931,NA,8.1182133464,-0.0042304586856,89.073880387,0.15149214109,0.20454134813,26298,"smallfolio",11.30807198242
"83",83,184,"Odontoprev","ODPV3",578795,"ON",1448.8286467,24.242304362,16.266476329,112.97938326,177129,NA,0,-28.856878249,NA,4.0001352198,0.45346997825,37.493156897,0.054470427645,0.16758345154,31338,"smallfolio",31.5225853564901
"84",84,128,"Inds Romi","ROMI3",579659.6,"ON",212.86786917,17.452028921,6.8451856578,7.4641630545,279574,96.112361368,120.07835383,17.71617407,376.12720172,2.9335373964,0.22209130207,29.134745803,0.27032832327,0.068929409168,2073,"smallfolio",12.0820579398476
"85",85,154,"Lojas Marisa","AMAR3",590409.6,"ON",410.27977437,8.920051246,3.3359202491,10.272141313,685615,NA,67.534595106,250.14554388,NA,6.9773906693,0.075787246837,22.474937712,0.16254404226,0.058302754837,102083,"smallfolio",17.7011850534855
"86",86,209,"RaiaDrogasil","RADL3",590600,"ON",3689.0443459,13.88608488,8.5834958964,21.658271822,294158,464.52868271,11.391083354,-56.300011802,258.59959579,27.683658224,0.78419368327,3.7265135973,0.087139807649,0.33462850205,3796,"smallfolio",43.8311552837069
"87",87,202,"Positivo Tec","POSI3",593234.4,"ON",74.213144358,NA,11.718975396,NA,540898,NA,17.430777409,206.81345505,NA,4.3295193003,-0.063016429556,27.020080625,0.63291789422,0.05153210979,98123,"smallfolio",5.70805741917244
"88",88,102,"Ferbasa","FESA4",596775.2,"PN",456.59770492,58.316072908,34.170728229,63.528003325,454325,323.03469809,0.52654040258,-107.14159522,136.89455072,5.2145884697,0.26560857725,41.038739024,1.2950129412,0.15551442231,6980,"smallfolio",18.7282703872867
"89",89,14,"Atmasa","ATMP3",603001,"ON",-99.780393986,31.835469202,9.3092881334,48.254032197,284081,NA,76.540240258,-105.76910531,NA,5945.782353,-0.37558560748,114228.59581,683.73571267,-0.30448153258,64151,"smallfolio",-45.7793870414821
"90",1,195,"Petrobras","PETR4",223990959.39,"PN",78.95527875,25.714245506,10.575673837,18.021072793,73495177,85.162940556,44.904727155,103.09514565,114.45679017,5.8415024186,0.025111812246,35.227511231,0.65220359874,0.07432405711,32394376,"largefolio",5.99233295822532
